DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	Price	Currency	UpdateTime
2018-03-01 01:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	36.04	EUR	2018-02-28 10:32:42
2018-03-01 05:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	61.09	EUR	2018-02-28 10:32:42
2018-03-01 09:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	88.75	EUR	2018-02-28 10:32:42
2018-03-01 13:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	77.45	EUR	2018-02-28 10:32:42
2018-03-01 17:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	80.10	EUR	2018-02-28 10:32:42
2018-03-01 21:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	60.57	EUR	2018-02-28 10:32:42
2018-03-01 00:30:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	28.24	EUR	2018-02-28 11:04:40
2018-03-01 01:30:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	27.56	EUR	2018-02-28 11:04:40
2018-03-01 02:30:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	26.78	EUR	2018-02-28 11:04:40
2018-03-01 03:30:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	28.00	EUR	2018-02-28 11:04:40
2018-03-01 04:30:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	34.16	EUR	2018-02-28 11:04:40
2018-03-01 05:30:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	40.89	EUR	2018-02-28 11:04:40
2018-03-01 06:30:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	50.48	EUR	2018-02-28 11:04:40
2018-03-01 07:30:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	37.65	EUR	2018-02-28 11:04:40
2018-03-01 08:30:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	32.39	EUR	2018-02-28 11:04:40
2018-03-01 09:30:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	25.42	EUR	2018-02-28 11:04:40
2018-03-01 10:30:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	26.94	EUR	2018-02-28 11:04:40
2018-03-01 11:30:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	27.52	EUR	2018-02-28 11:04:40
2018-03-01 12:30:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	29.74	EUR	2018-02-28 11:04:40
2018-03-01 13:30:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	29.20	EUR	2018-02-28 11:04:40
2018-03-01 14:30:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	31.31	EUR	2018-02-28 11:04:40
2018-03-01 15:30:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	34.33	EUR	2018-02-28 11:04:40
2018-03-01 16:30:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	38.92	EUR	2018-02-28 11:04:40
2018-03-01 17:30:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	43.00	EUR	2018-02-28 11:04:40
2018-03-01 18:30:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	38.58	EUR	2018-02-28 11:04:40
2018-03-01 19:30:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	33.38	EUR	2018-02-28 11:04:40
2018-03-01 20:30:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	28.45	EUR	2018-02-28 11:04:40
2018-03-01 21:30:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	30.94	EUR	2018-02-28 11:04:40
2018-03-01 22:30:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	27.34	EUR	2018-02-28 11:04:40
2018-03-01 02:00:00.000	PT60M	10YSK-SEPS-----K	BZN	SK BZN	SK	30.99	EUR	2018-02-28 11:48:05
2018-03-01 06:00:00.000	PT60M	10YSK-SEPS-----K	BZN	SK BZN	SK	90.00	EUR	2018-02-28 11:48:05
2018-03-01 10:00:00.000	PT60M	10YSK-SEPS-----K	BZN	SK BZN	SK	100.00	EUR	2018-02-28 11:48:05
2018-03-01 14:00:00.000	PT60M	10YSK-SEPS-----K	BZN	SK BZN	SK	100.00	EUR	2018-02-28 11:48:05
2018-03-01 18:00:00.000	PT60M	10YSK-SEPS-----K	BZN	SK BZN	SK	110.00	EUR	2018-02-28 11:48:05
2018-03-01 22:00:00.000	PT60M	10YSK-SEPS-----K	BZN	SK BZN	SK	40.00	EUR	2018-02-28 11:48:05
2018-03-01 03:00:00.000	PT60M	10YRO-TEL------P	BZN	RO BZN	RO	139.00	RON	2018-02-28 12:02:18
2018-03-01 07:00:00.000	PT60M	10YRO-TEL------P	BZN	RO BZN	RO	400.00	RON	2018-02-28 12:02:18
2018-03-01 11:00:00.000	PT60M	10YRO-TEL------P	BZN	RO BZN	RO	384.00	RON	2018-02-28 12:02:18
2018-03-01 15:00:00.000	PT60M	10YRO-TEL------P	BZN	RO BZN	RO	339.00	RON	2018-02-28 12:02:18
2018-03-01 19:00:00.000	PT60M	10YRO-TEL------P	BZN	RO BZN	RO	402.00	RON	2018-02-28 12:02:18
2018-03-01 00:00:00.000	PT60M	10YHU-MAVIR----U	BZN	HU BZN	HU	29.65	EUR	2018-02-28 12:02:51
2018-03-01 04:00:00.000	PT60M	10YHU-MAVIR----U	BZN	HU BZN	HU	45.07	EUR	2018-02-28 12:02:51
2018-03-01 08:00:00.000	PT60M	10YHU-MAVIR----U	BZN	HU BZN	HU	100.00	EUR	2018-02-28 12:02:51
2018-03-01 12:00:00.000	PT60M	10YHU-MAVIR----U	BZN	HU BZN	HU	95.71	EUR	2018-02-28 12:02:51
2018-03-01 16:00:00.000	PT60M	10YHU-MAVIR----U	BZN	HU BZN	HU	101.56	EUR	2018-02-28 12:02:51
2018-03-01 20:00:00.000	PT60M	10YHU-MAVIR----U	BZN	HU BZN	HU	80.29	EUR	2018-02-28 12:02:51
2018-03-01 01:00:00.000	PT60M	10YES-REE------0	BZN	ES BZN	ES	44.51	EUR	2018-02-28 12:48:16
2018-03-01 05:00:00.000	PT60M	10YES-REE------0	BZN	ES BZN	ES	45.01	EUR	2018-02-28 12:48:16
2018-03-01 09:00:00.000	PT60M	10YES-REE------0	BZN	ES BZN	ES	63.53	EUR	2018-02-28 12:48:16
2018-03-01 13:00:00.000	PT60M	10YES-REE------0	BZN	ES BZN	ES	53.53	EUR	2018-02-28 12:48:16
2018-03-01 17:00:00.000	PT60M	10YES-REE------0	BZN	ES BZN	ES	44.62	EUR	2018-02-28 12:48:16
2018-03-01 21:00:00.000	PT60M	10YES-REE------0	BZN	ES BZN	ES	52.26	EUR	2018-02-28 12:48:16
2018-03-01 02:00:00.000	PT60M	10Y1001A1001A46L	BZN	SE3 BZN	SE3	39.02	EUR	2018-02-28 13:02:38
2018-03-01 06:00:00.000	PT60M	10Y1001A1001A46L	BZN	SE3 BZN	SE3	199.92	EUR	2018-02-28 13:02:38
2018-03-01 10:00:00.000	PT60M	10Y1001A1001A46L	BZN	SE3 BZN	SE3	131.61	EUR	2018-02-28 13:02:38
2018-03-01 14:00:00.000	PT60M	10Y1001A1001A46L	BZN	SE3 BZN	SE3	62.05	EUR	2018-02-28 13:02:38
2018-03-01 18:00:00.000	PT60M	10Y1001A1001A46L	BZN	SE3 BZN	SE3	99.94	EUR	2018-02-28 13:02:38
2018-03-01 22:00:00.000	PT60M	10Y1001A1001A46L	BZN	SE3 BZN	SE3	39.09	EUR	2018-02-28 13:02:38
2018-03-01 03:00:00.000	PT60M	10Y1001A1001A45N	BZN	SE2 BZN	SE2	39.60	EUR	2018-02-28 13:02:38
2018-03-01 07:00:00.000	PT60M	10Y1001A1001A45N	BZN	SE2 BZN	SE2	255.02	EUR	2018-02-28 13:02:38
2018-03-01 11:00:00.000	PT60M	10Y1001A1001A45N	BZN	SE2 BZN	SE2	107.98	EUR	2018-02-28 13:02:38
2018-03-01 15:00:00.000	PT60M	10Y1001A1001A45N	BZN	SE2 BZN	SE2	67.63	EUR	2018-02-28 13:02:38
2018-03-01 19:00:00.000	PT60M	10Y1001A1001A45N	BZN	SE2 BZN	SE2	59.47	EUR	2018-02-28 13:02:38
2018-03-01 00:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	39.05	EUR	2018-02-28 13:02:38
2018-03-01 04:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	39.33	EUR	2018-02-28 13:02:38
2018-03-01 08:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	42.30	EUR	2018-02-28 13:02:38
2018-03-01 12:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	41.00	EUR	2018-02-28 13:02:38
2018-03-01 16:00:00.000	PT60M	10YNO-2--------T	BZN	NO2 BZN	NO2	40.25	EUR	2018-02-28 13:02:38
2018-03-01 03:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	36.05	EUR	2018-02-28 10:32:42
2018-03-01 07:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	82.54	EUR	2018-02-28 10:32:42
2018-03-01 11:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	83.44	EUR	2018-02-28 10:32:42
2018-03-01 15:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	76.10	EUR	2018-02-28 10:32:42
2018-03-01 19:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	77.07	EUR	2018-02-28 10:32:42
2018-03-01 00:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	32.94	EUR	2018-02-28 11:04:40
2018-03-01 01:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	27.81	EUR	2018-02-28 11:04:40
2018-03-01 02:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	28.90	EUR	2018-02-28 11:04:40
2018-03-01 03:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	23.47	EUR	2018-02-28 11:04:40
2018-03-01 04:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	20.57	EUR	2018-02-28 11:04:40
2018-03-01 05:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	17.20	EUR	2018-02-28 11:04:40
2018-03-01 06:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	39.44	EUR	2018-02-28 11:04:40
2018-03-01 07:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	54.86	EUR	2018-02-28 11:04:40
2018-03-01 08:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	51.27	EUR	2018-02-28 11:04:40
2018-03-01 09:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	46.34	EUR	2018-02-28 11:04:40
2018-03-01 10:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	33.47	EUR	2018-02-28 11:04:40
2018-03-01 11:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	32.53	EUR	2018-02-28 11:04:40
2018-03-01 12:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	27.90	EUR	2018-02-28 11:04:40
2018-03-01 13:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	20.84	EUR	2018-02-28 11:04:40
2018-03-01 14:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	22.77	EUR	2018-02-28 11:04:40
2018-03-01 15:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	18.81	EUR	2018-02-28 11:04:40
2018-03-01 16:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	25.92	EUR	2018-02-28 11:04:40
2018-03-01 17:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	41.00	EUR	2018-02-28 11:04:40
2018-03-01 18:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	49.84	EUR	2018-02-28 11:04:40
2018-03-01 19:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	48.26	EUR	2018-02-28 11:04:40
2018-03-01 20:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	37.52	EUR	2018-02-28 11:04:40
2018-03-01 21:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	36.77	EUR	2018-02-28 11:04:40
2018-03-01 22:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	36.12	EUR	2018-02-28 11:04:40
2018-03-01 00:00:00.000	PT60M	10YSK-SEPS-----K	BZN	SK BZN	SK	29.65	EUR	2018-02-28 11:48:05
2018-03-01 04:00:00.000	PT60M	10YSK-SEPS-----K	BZN	SK BZN	SK	41.00	EUR	2018-02-28 11:48:05
2018-03-01 08:00:00.000	PT60M	10YSK-SEPS-----K	BZN	SK BZN	SK	100.00	EUR	2018-02-28 11:48:05
2018-03-01 12:00:00.000	PT60M	10YSK-SEPS-----K	BZN	SK BZN	SK	95.71	EUR	2018-02-28 11:48:05
