DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	Price	Currency	UpdateTime
2015-08-12 10:00:00.000	PT60M	10Y1001A1001A788	BZN	IT-South BZN	IT-SOUTH	45.31	EUR	2017-09-14 09:28:36.036
2015-08-12 14:00:00.000	PT60M	10Y1001A1001A788	BZN	IT-South BZN	IT-SOUTH	51.71	EUR	2017-09-14 09:28:36.036
2015-08-12 18:00:00.000	PT60M	10Y1001A1001A788	BZN	IT-South BZN	IT-SOUTH	74.05	EUR	2017-09-14 09:28:36.036
2015-08-12 22:00:00.000	PT60M	10Y1001A1001A788	BZN	IT-South BZN	IT-SOUTH	55.55	EUR	2017-09-14 09:28:36.036
2015-08-12 02:00:00.000	PT60M	10Y1001A1001A66F	BZN	IT-GR BZN	IT_GR	50.00	EUR	2017-09-14 09:28:36.036
2015-08-12 06:00:00.000	PT60M	10Y1001A1001A66F	BZN	IT-GR BZN	IT_GR	52.25	EUR	2017-09-14 09:28:36.036
2015-08-12 10:00:00.000	PT60M	10Y1001A1001A66F	BZN	IT-GR BZN	IT_GR	45.31	EUR	2017-09-14 09:28:36.036
2015-08-12 14:00:00.000	PT60M	10Y1001A1001A66F	BZN	IT-GR BZN	IT_GR	51.71	EUR	2017-09-14 09:28:36.036
2015-08-12 18:00:00.000	PT60M	10Y1001A1001A66F	BZN	IT-GR BZN	IT_GR	74.05	EUR	2017-09-14 09:28:36.036
2015-08-12 22:00:00.000	PT60M	10Y1001A1001A66F	BZN	IT-GR BZN	IT_GR	55.55	EUR	2017-09-14 09:28:36.036
2015-08-12 02:00:00.000	PT60M	10YCH-SWISSGRIDZ	BZN	CH BZN	CH	27.91	EUR	2017-09-14 09:28:36.036
2015-08-12 06:00:00.000	PT60M	10YCH-SWISSGRIDZ	BZN	CH BZN	CH	43.30	EUR	2017-09-14 09:28:36.036
2015-08-12 10:00:00.000	PT60M	10YCH-SWISSGRIDZ	BZN	CH BZN	CH	42.90	EUR	2017-09-14 09:28:36.036
2015-08-12 14:00:00.000	PT60M	10YCH-SWISSGRIDZ	BZN	CH BZN	CH	40.08	EUR	2017-09-14 09:28:36.036
2015-08-12 18:00:00.000	PT60M	10YCH-SWISSGRIDZ	BZN	CH BZN	CH	43.94	EUR	2017-09-14 09:28:36.036
2015-08-12 22:00:00.000	PT60M	10YCH-SWISSGRIDZ	BZN	CH BZN	CH	29.76	EUR	2017-09-14 09:28:36.036
2015-08-13 00:30:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	24.70	EUR	2017-09-14 09:28:36.036
2015-08-13 01:30:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	28.00	EUR	2017-09-14 09:28:36.036
2015-08-13 02:30:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	26.00	EUR	2017-09-14 09:28:36.036
2015-08-13 03:30:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	30.00	EUR	2017-09-14 09:28:36.036
2015-08-13 04:30:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	36.19	EUR	2017-09-14 09:28:36.036
2015-08-13 05:30:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	41.23	EUR	2017-09-14 09:28:36.036
2015-08-13 06:30:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	35.32	EUR	2017-09-14 09:28:36.036
2015-08-13 07:30:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	32.00	EUR	2017-09-14 09:28:36.036
2015-08-13 08:30:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	32.06	EUR	2017-09-14 09:28:36.036
2015-08-13 09:30:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	34.52	EUR	2017-09-14 09:28:36.036
2015-08-13 10:30:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	30.00	EUR	2017-09-14 09:28:36.036
