DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	Price	Currency	UpdateTime
2024-05-01 01:00:00.000	PT60M	10YCS-CG-TSO---S	BZN	ME BZN	ME	37.84	EUR	2024-04-30 10:47:45.045
2024-05-01 05:00:00.000	PT60M	10YCS-CG-TSO---S	BZN	ME BZN	ME	22.82	EUR	2024-04-30 10:47:45.045
2024-05-01 09:00:00.000	PT60M	10YCS-CG-TSO---S	BZN	ME BZN	ME	0.00	EUR	2024-04-30 10:47:45.045
2024-05-01 13:00:00.000	PT60M	10YCS-CG-TSO---S	BZN	ME BZN	ME	0.00	EUR	2024-04-30 10:47:45.045
2024-05-01 17:00:00.000	PT60M	10YCS-CG-TSO---S	BZN	ME BZN	ME	65.22	EUR	2024-04-30 10:47:45.045
2024-05-01 21:00:00.000	PT60M	10YCS-CG-TSO---S	BZN	ME BZN	ME	53.14	EUR	2024-04-30 10:47:45.045
2024-05-01 03:00:00.000	PT60M	50Y0JVU59B4JWQCU	BZN	NO2NSL	NO2NSL	47.00	EUR	2024-04-30 11:08:26.026
2024-05-01 07:00:00.000	PT60M	50Y0JVU59B4JWQCU	BZN	NO2NSL	NO2NSL	21.94	EUR	2024-04-30 11:08:26.026
2024-05-01 11:00:00.000	PT60M	50Y0JVU59B4JWQCU	BZN	NO2NSL	NO2NSL	5.75	EUR	2024-04-30 11:08:26.026
2024-05-01 15:00:00.000	PT60M	50Y0JVU59B4JWQCU	BZN	NO2NSL	NO2NSL	14.74	EUR	2024-04-30 11:08:26.026
2024-05-01 19:00:00.000	PT60M	50Y0JVU59B4JWQCU	BZN	NO2NSL	NO2NSL	41.71	EUR	2024-04-30 11:08:26.026
2024-05-01 00:15:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	52.70	EUR	2024-04-30 11:34:44.044
2024-05-01 01:15:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	45.00	EUR	2024-04-30 11:34:44.044
2024-05-01 02:15:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	47.70	EUR	2024-04-30 11:34:44.044
2024-05-01 03:15:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	47.70	EUR	2024-04-30 11:34:44.044
2024-05-01 04:15:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	45.10	EUR	2024-04-30 11:34:44.044
2024-05-01 05:15:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	47.70	EUR	2024-04-30 11:34:44.044
2024-05-01 06:15:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	22.70	EUR	2024-04-30 11:34:44.044
2024-05-01 07:15:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	22.70	EUR	2024-04-30 11:34:44.044
2024-05-01 08:15:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	-5.05	EUR	2024-04-30 11:34:44.044
2024-05-01 09:15:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	-60.45	EUR	2024-04-30 11:34:44.044
2024-05-01 10:15:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	-83.10	EUR	2024-04-30 11:34:44.044
2024-05-01 11:15:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	-150.00	EUR	2024-04-30 11:34:44.044
2024-05-01 12:15:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	-104.93	EUR	2024-04-30 11:34:44.044
2024-05-01 13:15:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	-99.91	EUR	2024-04-30 11:34:44.044
2024-05-01 14:15:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	-57.23	EUR	2024-04-30 11:34:44.044
2024-05-01 15:15:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	-24.94	EUR	2024-04-30 11:34:44.044
2024-05-01 16:15:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	8.23	EUR	2024-04-30 11:34:44.044
2024-05-01 17:15:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	40.06	EUR	2024-04-30 11:34:44.044
2024-05-01 18:15:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	69.94	EUR	2024-04-30 11:34:44.044
2024-05-01 19:15:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	66.70	EUR	2024-04-30 11:34:44.044
2024-05-01 20:15:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	59.99	EUR	2024-04-30 11:34:44.044
2024-05-01 21:15:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	47.70	EUR	2024-04-30 11:34:44.044
2024-05-01 01:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	36.17	EUR	2024-04-30 11:36:29.029
2024-05-01 05:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	19.02	EUR	2024-04-30 11:36:29.029
2024-05-01 09:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	0.00	EUR	2024-04-30 11:36:29.029
2024-05-01 13:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	0.00	EUR	2024-04-30 11:36:29.029
