DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	Price	Currency	UpdateTime
2015-02-08 17:00:00.000	PT60M	10Y1001A1001A68B	BZN	IT-North-CH BZN	IT_NORD_CH	56.40	EUR	2017-09-14 09:27:52
2015-02-08 21:00:00.000	PT60M	10Y1001A1001A68B	BZN	IT-North-CH BZN	IT_NORD_CH	48.00	EUR	2017-09-14 09:27:52
2015-02-08 01:00:00.000	PT60M	10Y1001A1001A72K	BZN	IT-Foggia BZN	IT-Foggia	41.36	EUR	2017-09-14 09:27:52
2015-02-08 05:00:00.000	PT60M	10Y1001A1001A72K	BZN	IT-Foggia BZN	IT-Foggia	39.20	EUR	2017-09-14 09:27:52
2015-02-08 09:00:00.000	PT60M	10Y1001A1001A72K	BZN	IT-Foggia BZN	IT-Foggia	48.00	EUR	2017-09-14 09:27:52
2015-02-08 13:00:00.000	PT60M	10Y1001A1001A72K	BZN	IT-Foggia BZN	IT-Foggia	37.42	EUR	2017-09-14 09:27:52
2015-02-08 17:00:00.000	PT60M	10Y1001A1001A72K	BZN	IT-Foggia BZN	IT-Foggia	56.40	EUR	2017-09-14 09:27:52
2015-02-08 21:00:00.000	PT60M	10Y1001A1001A72K	BZN	IT-Foggia BZN	IT-Foggia	48.00	EUR	2017-09-14 09:27:52
2015-02-08 01:00:00.000	PT60M	10Y1001A1001A80L	BZN	IT-North-AT BZN	IT_NORD_AT	41.36	EUR	2017-09-14 09:27:52
2015-02-08 05:00:00.000	PT60M	10Y1001A1001A80L	BZN	IT-North-AT BZN	IT_NORD_AT	39.20	EUR	2017-09-14 09:27:52
2015-02-08 09:00:00.000	PT60M	10Y1001A1001A80L	BZN	IT-North-AT BZN	IT_NORD_AT	48.00	EUR	2017-09-14 09:27:52
2015-02-08 13:00:00.000	PT60M	10Y1001A1001A80L	BZN	IT-North-AT BZN	IT_NORD_AT	37.42	EUR	2017-09-14 09:27:52
2015-02-08 17:00:00.000	PT60M	10Y1001A1001A80L	BZN	IT-North-AT BZN	IT_NORD_AT	56.40	EUR	2017-09-14 09:27:52
2015-02-08 21:00:00.000	PT60M	10Y1001A1001A80L	BZN	IT-North-AT BZN	IT_NORD_AT	48.00	EUR	2017-09-14 09:27:52
2015-02-08 01:00:00.000	PT60M	10Y1001A1001A75E	BZN	IT-Sicily BZN	IT-Sicily	41.36	EUR	2017-09-14 09:27:52
2015-02-08 05:00:00.000	PT60M	10Y1001A1001A75E	BZN	IT-Sicily BZN	IT-Sicily	39.20	EUR	2017-09-14 09:27:52
2015-02-08 09:00:00.000	PT60M	10Y1001A1001A75E	BZN	IT-Sicily BZN	IT-Sicily	65.15	EUR	2017-09-14 09:27:52
2015-02-08 13:00:00.000	PT60M	10Y1001A1001A75E	BZN	IT-Sicily BZN	IT-Sicily	37.42	EUR	2017-09-14 09:27:52
