DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	Price	Currency	UpdateTime
2017-01-01 00:30:00.000	PT30M	10Y1001A1001A59C	BZN	IE(SEM) BZN	IE_SEM	43.68	EUR	2017-09-14 09:31:00.000
2017-01-01 02:30:00.000	PT30M	10Y1001A1001A59C	BZN	IE(SEM) BZN	IE_SEM	36.66	EUR	2017-09-14 09:31:00.000
2017-01-01 04:30:00.000	PT30M	10Y1001A1001A59C	BZN	IE(SEM) BZN	IE_SEM	35.94	EUR	2017-09-14 09:31:00.000
2017-01-01 00:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	31.43	EUR	2017-09-14 09:31:00.000
2017-01-01 01:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	30.00	EUR	2017-09-14 09:31:00.000
2017-01-01 02:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	24.78	EUR	2017-09-14 09:31:00.000
2017-01-01 03:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	21.01	EUR	2017-09-14 09:31:00.000
2017-01-01 04:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	21.92	EUR	2017-09-14 09:31:00.000
2017-01-01 05:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	15.14	EUR	2017-09-14 09:31:00.000
2017-01-01 06:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	17.54	EUR	2017-09-14 09:31:00.000
2017-01-01 07:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	13.24	EUR	2017-09-14 09:31:00.000
2017-01-01 08:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	18.20	EUR	2017-09-14 09:31:00.000
2017-01-01 09:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	16.00	EUR	2017-09-14 09:31:00.000
2017-01-01 10:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	19.00	EUR	2017-09-14 09:31:00.000
2017-01-01 11:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	26.32	EUR	2017-09-14 09:31:00.000
2017-01-01 12:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	24.40	EUR	2017-09-14 09:31:00.000
2017-01-01 13:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	20.72	EUR	2017-09-14 09:31:00.000
2017-01-01 14:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	21.40	EUR	2017-09-14 09:31:00.000
2017-01-01 15:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	24.30	EUR	2017-09-14 09:31:00.000
2017-01-01 16:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	33.00	EUR	2017-09-14 09:31:00.000
2017-01-01 17:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	33.88	EUR	2017-09-14 09:31:00.000
2017-01-01 18:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	38.57	EUR	2017-09-14 09:31:00.000
2017-01-01 19:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	39.00	EUR	2017-09-14 09:31:00.000
2017-01-01 20:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	29.50	EUR	2017-09-14 09:31:00.000
2017-01-01 21:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	38.20	EUR	2017-09-14 09:31:00.000
2017-01-01 22:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	34.70	EUR	2017-09-14 09:31:00.000
2017-01-01 23:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	30.58	EUR	2017-09-14 09:31:00.000
2017-01-02 00:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	24.47	EUR	2017-09-14 09:31:00.000
2017-01-02 01:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	25.92	EUR	2017-09-14 09:31:00.000
2017-01-02 02:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	20.19	EUR	2017-09-14 09:31:00.000
2017-01-02 03:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	17.98	EUR	2017-09-14 09:31:00.000
2017-01-02 04:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	14.50	EUR	2017-09-14 09:31:00.000
2017-01-02 05:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	23.00	EUR	2017-09-14 09:31:00.000
2017-01-02 06:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	40.00	EUR	2017-09-14 09:31:00.000
2017-01-02 07:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	40.60	EUR	2017-09-14 09:31:00.000
2017-01-02 08:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	47.30	EUR	2017-09-14 09:31:00.000
2017-01-02 09:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	45.57	EUR	2017-09-14 09:31:00.000
2017-01-02 10:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	56.00	EUR	2017-09-14 09:31:00.000
2017-01-02 11:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	50.90	EUR	2017-09-14 09:31:00.000
2017-01-02 12:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	56.00	EUR	2017-09-14 09:31:00.000
2017-01-02 13:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	54.00	EUR	2017-09-14 09:31:00.000
2017-01-02 14:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	49.64	EUR	2017-09-14 09:31:00.000
2017-01-02 15:15:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	49.50	EUR	2017-09-14 09:31:00.000
