DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	Price	Currency	UpdateTime
2018-09-01 00:00:00.000	PT30M	10Y1001A1001A59C	BZN	IE(SEM) BZN	IE_SEM	55.96	EUR	2018-08-30 13:02:37.037
2018-09-01 02:00:00.000	PT30M	10Y1001A1001A59C	BZN	IE(SEM) BZN	IE_SEM	53.31	EUR	2018-08-30 13:02:37.037
2018-09-01 04:00:00.000	PT30M	10Y1001A1001A59C	BZN	IE(SEM) BZN	IE_SEM	53.57	EUR	2018-08-30 13:02:37.037
2018-09-01 02:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	53.03	EUR	2018-08-31 10:31:53.053
2018-09-01 06:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	63.86	EUR	2018-08-31 10:31:53.053
2018-09-01 10:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	64.05	EUR	2018-08-31 10:31:53.053
2018-09-01 14:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	62.30	EUR	2018-08-31 10:31:53.053
2018-09-01 18:00:00.000	PT60M	10YCS-SERBIATSOV	BZN	RS BZN	RS	71.19	EUR	2018-08-31 10:31:53.053
2018-09-02 22:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	55.37	EUR	2018-08-31 11:03:03.003
2018-09-02 23:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	54.10	EUR	2018-08-31 11:03:03.003
2018-09-03 00:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	49.50	EUR	2018-08-31 11:03:03.003
2018-09-03 01:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	47.44	EUR	2018-08-31 11:03:03.003
2018-09-03 02:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	41.00	EUR	2018-08-31 11:03:03.003
2018-09-03 03:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	36.00	EUR	2018-08-31 11:03:03.003
2018-09-03 04:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	44.00	EUR	2018-08-31 11:03:03.003
2018-09-03 05:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	64.90	EUR	2018-08-31 11:03:03.003
2018-09-03 06:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	76.49	EUR	2018-08-31 11:03:03.003
2018-09-03 07:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	76.60	EUR	2018-08-31 11:03:03.003
2018-09-03 08:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	75.38	EUR	2018-08-31 11:03:03.003
2018-09-03 09:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	74.55	EUR	2018-08-31 11:03:03.003
2018-09-03 10:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	74.13	EUR	2018-08-31 11:03:03.003
2018-09-03 11:00:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	73.43	EUR	2018-08-31 11:03:03.003
